"TERM";"URI";"HIT SCORE";"PONDERATED SCORE";"TERM MATCHED";"TERM SIMILARITY"
"UNCONTROLLED DIABETES MELLITUS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C99248";50.040607;74.01015175;"Neonatal Diabetes Mellitus";82
"PANCREAS TX";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C12393";24.980818;69.2452045;"PANCREAS";84
"KIDNEY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C12415";32.509068;83.127267;"KIDNEY";100
"BLEEDING FROM SURG SITE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143912";43.50028;64.12507;"Urostomy Site Bleeding";71
"DILATED ASCENDING AORTA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C32150";51.50588;72.12647;"ASCENDING AORTA";79
"G.I. BLEED";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C125077";17.786663;56.94666575;"I bleed easily";70
"POSITIVE STRESS TEST";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C92836";35.779045;64.44476125;"Non-Stress Test";74
"EUS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C153911";28.64337;82.1608425;"EUS";100
"INFECTIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C45372";21.02317;62.2557925;"Eye Infection";76
"RIGHT UPPER LOBE MASS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C33023";54.255764;74.313941;"LUNG, RIGHT UPPER LOBE";81
"OVARIAN CARCINOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C4908";48.217163;87.05429075;"Ovarian Carcinoma";100
"MANDIBULAR FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C60586";29.942345;53.98558625;"Rat Mandibular Gland";62
"STATUS POST FALL WITH CERVICAL FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;41.194996;"Status Post";44
"AORTIC VALVE REPLACEMENT MAZE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50815";63.918285;84.22957124999999;"AORTIC VALVE REPLACEMENT";91
"ADVANCED LIVER FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84396";35.053104;71.013276;"Acute Liver Failure";83
"STATUS ASTHMATICUS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C122577";52.011917;88.00297925;"Status Asthmaticus";100
"T8 FRACTURE WITH CORD COMPRESSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27170";53.73742;69.684355;"Compression Fracture";75
"CORD COMPRESSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143233";46.11464;73.02866;"Spinal cord compression";82
"CHRONIC DIVERTICULITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34551";41.422405;71.85560125;"Colonic Diverticulosis";82
"PERIPJERAL VASCULAR DISEASE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C35136";49.24013;84.3100325;"Peripheral Vascular Disease";96
"ANAPHYLAIXIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143282";32.467392;80.116848;"Anaphylaxis";96
"O CEREBROVASCULAR ACCIDENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3390";44.872528;83.218132;"Cerebrovascular Accident";96
"LT SUB DURAL HEMATOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C14514";30.66684;33.16671;"LT Mouse";34
"VF";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C105516";33.658016;83.414504;"/VF";100
"MATURITY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C156784";27.253769;81.81344225;"Maturity";100
"INSULIN DEPENDANT DIABETES MELLITUS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C2986";64.00067;88.7501675;"Insulin Dependent Diabetes Mellitus";97
"DISCITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50559";26.259033;62.81475825;"Fascitis";75
"FORAMEN OVALE DEFECT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34326";41.745605;57.68640125;"Valve of Oval Foramen";63
"STATUS POST PACER";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;67.444996;"Status Post";79
"CERVICAL LYMPHADENOPATHY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C40989";46.000492;86.500123;"Cervical Lymphadenopathy";100
"SUBARACHNOID BLEED";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C156507";36.22916;69.05729;"Subarachnoid";80
"SUBDURAL HEMAOTOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C116585";52.628464;85.907116;"Subdural Hematoma";97
"LEG ANGIOGRAM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C114864";33.601715;69.90042875;"Angiogram";82
"AA RUNOFF";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C128285";25.964298;43.991074499999996;"PDGF-AA";50
"ASTHAMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C28397";26.76889;75.6922225;"Asthma";92
"BMT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C45900";20.537777;46.38444425;"FACT-BMT";55
"RUPTURED ADRENAL ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C118871";25.708664;56.677166;"Ruptured Globe";67
"RESUCITATED CARDIAC ARREST";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C67106";72.8056;91.7014;"Resuscitated Cardiac Arrest";98
"CONTUSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50441";28.624325;82.15608125;"Contusion";100
"CHRONIC RENAL INSUFFICIENCY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C80078";49.8892;87.4723;"Chronic Renal Insufficiency";100
"EPIDURAL ABCESS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38210";30.54589;60.136472499999996;"EPIDURAL";70
"TOXIC INGESTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C127813";33.274174;39.818543500000004;"Toxic Vacuolation Assessment";42
"RENAL STONES";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26807";36.768326;81.1920815;"Renal Stone";96
"ESWL";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C9736";21.997849;31.74946225;"ESDL/NORETHIN";35
"FLANK PAIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34615";96.94903;99.2372575;"Flank Pain";100
"FAILURE TO WEAN OFF VENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C62988";48.171257;64.54281424999999;"Failure to Shut Off";70
"CEREBROVASCULA ACCIDENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3390";43.232628;84.308157;"Cerebrovascular Accident";98
"PROGRESSIVE HEART FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143529";42.078316;61.519579;"Heart Failure";68
"INTERCRANIAL BLEED";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C5114";22.489487;58.12237175;"Intracranial Cancer";70
"INFECTED L BKA STUMP";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C155655";21.255062;45.8137655;"P. vivax-infected RBCs";54
"STENT PLACEMANT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100080";40.733376;65.683344;"CARDIAC STENT PLACEMENT";74
"PREMATURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143776";26.798439;56.94960975;"Premature Delivery";67
"THALAMIC BLEED";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C6221";46.623436;60.405859;"Thalamic Neoplasm";65
"RIGHT LEG REST PAIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C132551";40.764908;58.941227;"NSAA - Hop Right Leg";65
"OSTEOSARCOMA RIGHT PROXIMAL FEMUR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C102337";37.912273;60.47806825;"PROXIMAL RIGHT CORONARY ARTERY CONDUIT";68
"HYPERBILRUBINEIMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C113768";28.383585;64.09589625;"Direct Hyperbilirubinemia";76
"RHEUMATIC HEART DISEASE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34882";402.88538;175.72134499999999;"Rheumatic Heart Disease";100
"LEFT MAIN DISEASE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C80426";224.25842;86.064605;"Coronary Artery Number of Diseased Vessels (Excludes Left Main Disease)";40
"FUNGAL PNEUMONIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C154813";31.90746;49.226865000000004;"Fungi Measurement";55
"FAILED TOTAL HIP REPLACEMENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C158016";40.001705;70.00042625;"Total Disc Replacement";80
"STE MYOCARDIAL INFARCTIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27996";53.932762;80.2331905;"Myocardial Infarction";89
"ISCHEMIC BOWEL";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C35212";38.067616;68.016904;"Ischemic Bowel Disease";78
"AORTIC HEMATOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C5376";30.299911;64.57497775;"Aortic Hemangiosarcoma";76
"LEFT UPPER LOBE MASS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C33021";54.597904;73.64947599999999;"LUNG, LEFT UPPER LOBE";80
"SEVERE HYPOTENSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3128";35.630722;65.9076805;"Hypotension";76
"MULTIPLE SCLEROSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3243";47.142006;86.7855015;"Multiple Sclerosis";100
"STATUS POST VENTRICULAR FIBRILLATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C146732";51.252296;72.813074;"Ventricular Fibrillation";80
"STATUS POST 30 FOOT FALL";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C105715";36.28934;50.322335;"Karnofsky Performance Status 30";55
"PULMONARY EDEMAN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26868";41.264046;83.0660115;"Pulmonary Edema";97
"POSITIVE EXERCISE TOLERANCE TEST";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C45946";37.64815;61.9120375;"Glucose Tolerance Test";70
"LUMBAR DISC HERNIATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27154";33.8124;57.2031;"Lumbar Disc Degeneration";65
"LIVER CONGESTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C82971";31.895912;67.223978;"Tissue Congestion";79
"RESPIRATORY INSUFFICENCY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C51447";42.419716;84.104929;"Respiratory Insufficiency";98
"GUILLIAN BARRE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C116345";56.177986;66.5444965;"Guillain Barre Syndrome";70
"CARDICA CATH";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C119245";27.340137;48.83503425;"Cardiac Index";56
"HISTORY OF ENDOCARDITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34582";30.698341;59.42458525;"Endocarditis";69
"REDO MVR ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C48655";30.25039;48.8125975;"MVR";55
"RENAL STONE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26807";33.371838;83.3429595;"Renal Stone";100
"RESP FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26922";22.78777;61.1969425;"Hepatic Failure";74
"PSEUDO AORTIC ANEURYSM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26697";51.86767;73.7169175;"Aortic Aneurysm";81
"REPAIR OF PSEUDO ANEURYSM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C157839";42.424892;64.606223;"Endovascular Aneurysm Repair";72
"AORTIC VALVE REPLACEMENT WITH STERNOTOMY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50815";63.918285;72.22957124999999;"AORTIC VALVE REPLACEMENT";75
"TRIPLE AAA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C15207";22.68874;45.422185;"Trial";53
"DIABETES MELLITUS FOR PANCREAS TRANSPLANT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C99248";50.040607;66.51015175;"Neonatal Diabetes Mellitus";72
"TRACHEAL TEAR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C58205";38.933613;66.73340325;"Tracheal Fistula";76
"ANEURYSM CRANIOTOMY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C15214";36.136734;60.7841835;"Craniotomy";69
"RIGHT ARM SWELLING";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C159918";43.38758;66.346895;"Swelling in your arm";74
"PNEUMOTHORAX RIB FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34990";51.76037;65.4400925;"Fracture of Rib";70
"MVC L1 FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3046";26.455013;59.11375325;"FRACTURE";70
"LGIB";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C16638";18.657066;69.1642665;"GIB";86
"DILATED CARDIOMYOPATHY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84673";40.65703;85.1642575;"Dilated Cardiomyopathy";100
"RVR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C120597";26.438791;81.60969775;"RVR";100
"THORACIC ABDOMINAL ANEURYSM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27000";43.707035;76.92675875;"Abdominal Aortic Aneurysm";88
"ANTERIOR CORD SYNDROME";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C99080";34.412434;55.1031085;"Spinal Cord Syndrome";62
"CANCER LEFT LOWER LOBE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C33020";52.944588;66.486147;"LUNG, LEFT LOWER LOBE";71
"OVARIAN CA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C4908";584.9056;208.4764;"Ovarian Cancer";83
"PATENT FORAMEN OVALE MINIMALLY INVASIVE ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34619";51.62119;63.9052975;"Patent Foramen Ovale";68
"STATUS POST MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C35519";37.10869;70.7771725;"SEPTAL MYOCARDIAL INFARCTION";82
"20 WKS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C96459";19.80733;59.7018325;"CK-20";73
"STERNAL PLATING ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C6730";32.210503;61.302625750000004;"Sternal Neoplasm";71
"O MYASTHENIA GRAVIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C60989";59.083656;85.270914;"Myasthenia Gravis";94
"MYASTHENIA GRAVIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C60989";59.083656;89.770914;"Myasthenia Gravis";100
"GALLSTONES";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C122822";35.012043;83.75301075;"Gallstones";100
"HEAD INJURIES";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C12269";21.59349;57.1483725;"PANCREAS, HEAD";69
"ENLARGED AORTIC ROOT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C127641";56.116;67.279;"Aortic Root";71
"ASCENDING AORTIC REPLACEMENT MINIMMALLY INVASIVE AVR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C157923";60.817818;61.7044545;"Minimally Invasive Joint Replacement Surgery";62
"ST WAVE MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C71080";45.980736;78.245184;"NON Q WAVE MYOCARDIAL INFARCTION";89
"GASTRIC PERFORATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143502";41.776764;85.444191;"Gastric Perforation";100
"STATUS POST NECK EXPLORATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C166267";33.288956;56.322238999999996;"explain_unknown_status";64
"DIABETIC KETOACIDOOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50530";50.827263;86.20681575;"Diabetic Ketoacidosis";98
"BRAIN CONTUSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50441";28.624325;63.40608125;"Contusion";75
"STATUS POST RESPIRATORY ARREST";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C101772";43.1427;67.035675;"Respiratory Arrest";75
"RIGHT ANKLE WOUND";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100615";35.335896;47.833974;"MNSI - Right Ankle Reflexes";52
"INRESPONSIVE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C86933";37.136307;78.28407675;"Unresponsive";92
"CLL";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C125994";22.33739;30.3343475;"CHESON CLL 2006";33
"GANGRENE LEFT LEG";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100518";40.070457;53.51761425;"UPD2-Left Leg Agility";58
"RIGHT HEEL INFECTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100605";29.779034;60.6947585;"MNSI - Right Foot Infection";71
"JEJUNAL INTERSUSSCEPTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C57827";35.358913;50.83972825;"Jejunal Fistula";56
"AORTIC VALVULOPLASTY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100044";36.179913;69.79497825;"PULMONIC VALVULOPLASTY";81
"HYPERBILIRUBIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27088";13.771389;69.44284725;"Hyperbilirubinemia";88
"RENAL LACERATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C51370";43.633003;61.90825075;"Fetal Scalp Laceration";68
"RIGHT HIP PAIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C112186";32.596645;67.39916125;"Pain Right Now";79
"EVACUATION OF SUBDURAL HEMATOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C116585";53.588562;66.6471405;"Subdural Hematoma";71
"EMERGENT CRANIOTOMY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C15214";36.136734;66.0341835;"Open Craniotomy";76
"ABDOMINAL WOUND INFECTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143254";39.523033;74.38075825;"Abdominal Infection";86
"PROGRESSIVE PARAPLEGIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C35571";38.68245;60.670612500000004;"PROGRESSIVE DISEASE";68
"ETOH";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C99294";18.72647;42.1816175;"AML1-ETO";50
"LVAD";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C44396";19.425808;61.106452;"LEAD";75
"TRAUMATIC BRAIN INJURY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3671";36.818527;72.20463175;"Traumatic Injury";84
"RIGHT HIP OA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C64193";29.594286;37.3985715;"HIP";40
"MYELOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3242";22.085602;80.5214005;"Myeloma";100
"SEVERE ANEMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C61229";36.253445;64.56336125;"Severe Aplastic Anemia";74
"HEMOLYTIC ANEMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C55992";52.392235;61.84805875;"Hemolysis, CTCAE";65
"NEAR DROWNING";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C62542";25.100088;49.025022;"Crowding";57
"LOWER GIB";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C86568";26.547668;59.886917;"Lower";71
"MYXOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C6577";27.461803;81.86545075;"Myxoma";100
"ATRIAL MYXOMA REMOVAL";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3499";49.845863;69.46146575;"Atrial Myxoma";76
"LEFT COMPRESSION FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27170";53.73742;80.184355;"Compression Fracture";89
"STATUS POST MOTORCYLE ACCIDENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;48.694996;"Status Post";54
"AF";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C33945";23.944546;65.9861365;"AF9";80
"HYPAGLYCEMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3126";28.860012;76.215003;"Hypoglycemia";92
"CEREBELLAR TUMOR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C2935";48.7684;87.1921;"Cerebellar Tumor";100
"AORTIC REGURGITATION   MITRAL REGURGITATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50861";78.94414;69.236035;"Aortic Regurgitation";66
"AORTIC AND MITRAL VALVE REPLACEMENT W";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50815";63.918285;75.22957124999999;"AORTIC VALVE REPLACEMENT";79
"OFF PUMP CORONARY ARTERY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C12843";44.31678;68.829195;"ARTERY, CORONARY";77
"BYPASS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C15723";33.124977;83.28124425;"Bypass";100
"RADIAL ARTERY LEFT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C12838";41.847908;73.461977;"RADIAL ARTERY";84
"COLOCUTANEOUS FISTULA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C127824";43.844666;51.4611665;"Orocutaneous Fistula";54
"PNEMONIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3333";23.491877;76.37296925;"Pneumonia";94
"VARICELLA PNEUMONIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C96395";27.60347;57.150867500000004;"Varicella Vaccine";67
"PVI   REMOTE WEST  ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C171936";44.272255;53.81806375;"Remote";57
"RECTAL PROLASPE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34973";38.743416;79.435854;"Rectal Prolapse";93
"IRREGULAR HEART RATE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C168284";45.560577;67.64014425;"Irregular Heart Beat";75
"PAROXYSMAL VENTRICULAR TACHYCARDIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34902";69.654785;92.41369625;"PAROXYSMAL VENTRICULAR TACHYCARDIA";100
"VENTRICULAR TACHYCARDIA ABLATION  ICD LEAD EXTRACTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C157945";59.126953;59.781738250000004;"Pacemaker or ICD Lead Extraction";60
"REIMPLANT ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C48499";20.820349;71.20508725;"IMPLANT";88
"CHIARI MALFORMATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84570";53.424347;88.35608675;"Chiari Malformation";100
"CHIARI 1 MALFORMATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84570";53.424347;84.60608675;"Chiari Malformation";95
"TOTAL MAZE PROCEDURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100017";39.91371;69.2284275;"Surgical Maze Procedure";79
"C SPINE FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3046";26.455013;59.86375325;"Bone Fracture(s)";71
"BP";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C132477";26.323788;81.580947;"BP";100
"FALLS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C110283";15.5956135;48.148903375;"Falls County";59
"AORTIC VALVE REPLACEMENT  BENTAL PROCEDURE ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50815";63.918285;71.47957124999999;"AORTIC VALVE REPLACEMENT";74
"PNEUMONNIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3333";23.864761;77.21619025;"Pneumonia";95
"LUNG ABSCESS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C99090";40.452744;85.113186;"Lung Abscess";100
"ADULT RESPIRATORY DISTRESS SYNDROME";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C58020";71.258095;92.81452375;"Adult Respiratory Distress Syndrome";100
"BASAL GANGLIA HEMORRHAGE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C23381";49.976288;70.244072;"Murine Basal Ganglia";77
"CHRONIC PANCREATITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84637";53.12966;88.282415;"Chronic Pancreatitis";100
"RIGHT MIDDLE LUNG CANCER";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C12286";49.43702;74.609255;"LUNG, RIGHT MIDDLE LOBE";83
"AV FISTULA INFECTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C36192";43.02314;61.005785;"AV Fistula";67
"ETOH (CONCERN OF TOXIC ETOH)";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C29278";37.257736;45.314434;"Nitroestron Meth ETH";48
"INFECTION OF THE SPINAL STIMULATOR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C99063";36.511242;54.8778105;"Infarction of Spinal Cord";61
"SMALL BOWEL TUMOR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C4432";40.499207;85.12480175;"Small Bowel Tumor";100
"L SIDED WEAKNESS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143681";40.411343;67.10283575;"Muscle Weakness Left-Sided";76
"SEZIURES";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C2962";39.840687;75.96017175;"Seizures";88
"DISECTING THORACIC ANEURYSM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27318";66.89369;81.9734225;"Dissecting Thoracic Aortic Aneurysm";87
"SEVERE HYPERTROPHIS CARDIO MYOPATHY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C67277";32.61171;51.652927500000004;"gastric mucosal hypertrophy";58
"RIGHT LUNG CA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C33483";37.270256;74.567564;"LUNG, RIGHT";87
"29WKS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C123857";8.068638;32.0171595;"CAB29";40
"STATUS POST CHOCKING";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;61.444996;"Status Post";71
"LOW HEMATOCRIT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100424";31.82576;62.70644;"Platelet Hematocrit";73
"PES PLANOVALGULS DEFORMITY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143706";29.78066;53.945165;"Nipple Deformity";62
"AKTERED MENTAL STATUS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C121628";54.30194;84.825485;"Altered Mental Status";95
"INTERCRANIAL HEMORRAGE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143596";39.4234;79.60585;"Intracranial Hemorrhage";93
"CVA VS.SEIZURES";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3390";28.561205;49.14030125;"Stroke/CVA";56
"T1 FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3046";26.455013;69.61375325;"FRACTURE";84
"LOWER GI BLEEN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C126705";39.102463;54.77561575;"Lower GI Complete Response";60
"NON HODGKINS LYMPHOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3211";56.577827;87.64445675;"Non-Hodgkin Lymphoma";98
"ACUTE GI BLEED";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C48592";35.262394;63.5655985;"GI Bleed";73
"STATUS POST BICYCLE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;62.944996;"Status Post";73
